"age","year","offence","no"
"18",2011,"Homicide and related offences",11
"18",2011,"Acts intended to cause injury",100
"18",2011,"Sexual assault and related offences",12
"18",2011,"Robbery, extortion and related offences",77
"18",2011,"Unlawful entry with intent",63
"18",2011,"Illicit drug offences",0
"18",2011,"Theft and related offences",20
"18",2011,"Miscellaneous offences",53
"18",2012,"Homicide and related offences",6
"18",2012,"Acts intended to cause injury",86
"18",2012,"Sexual assault and related offences",14
"18",2012,"Robbery, extortion and related offences",58
"18",2012,"Unlawful entry with intent",69
"18",2012,"Theft and related offences",15
"18",2012,"Illicit drug offences",4
"18",2012,"Offences against justice procedures",18
"18",2012,"Miscellaneous offences",23
"18",2013,"Homicide and related offences",5
"18",2013,"Acts intended to cause injury",94
"18",2013,"Sexual assault and related offences",12
"18",2013,"Dangerous or negligent acts endangering persons",10
"18",2013,"Abduction, harassment and other offences against the person",0
"18",2013,"Robbery, extortion and related offences",57
"18",2013,"Unlawful entry with intent",73
"18",2013,"Theft and related offences",12
"18",2013,"Fraud, deception and related offences",0
"18",2013,"Illicit drug offences",5
"18",2013,"Prohibited and regulated weapons and explosives offences",3
"18",2013,"Property damage and environmental pollution",3
"18",2013,"Public order offences",3
"18",2013,"Traffic and vehicle regulatory offences",3
"18",2013,"Offences against justice procedures",20
"18",2013,"Miscellaneous offences",0
"18",2014,"Homicide and related offences",6
"18",2014,"Acts intended to cause injury",95
"18",2014,"Sexual assault and related offences",19
"18",2014,"Dangerous or negligent acts endangering persons",17
"18",2014,"Abduction, harassment and other offences against the person",0
"18",2014,"Robbery, extortion and related offences",53
"18",2014,"Unlawful entry with intent",84
"18",2014,"Theft and related offences",17
"18",2014,"Fraud, deception and related offences",3
"18",2014,"Illicit drug offences",3
"18",2014,"Prohibited and regulated weapons and explosives offences",0
"18",2014,"Property damage and environmental pollution",7
"18",2014,"Public order offences",3
"18",2014,"Traffic and vehicle regulatory offences",0
"18",2014,"Offences against justice procedures",22
"18",2014,"Miscellaneous offences",0
"18",2015,"Homicide and related offences",7
"18",2015,"Acts intended to cause injury",75
"18",2015,"Sexual assault and related offences",26
"18",2015,"Dangerous or negligent acts endangering persons",12
"18",2015,"Abduction, harassment and other offences against the person",3
"18",2015,"Robbery, extortion and related offences",58
"18",2015,"Unlawful entry with intent",78
"18",2015,"Theft and related offences",21
"18",2015,"Fraud, deception and related offences",0
"18",2015,"Illicit drug offences",10
"18",2015,"Prohibited and regulated weapons and explosives offences",8
"18",2015,"Property damage and environmental pollution",6
"18",2015,"Public order offences",0
"18",2015,"Traffic and vehicle regulatory offences",0
"18",2015,"Offences against justice procedures",16
"18",2015,"Miscellaneous offences",0
"18",2016,"Homicide and related offences",7
"18",2016,"Acts intended to cause injury",81
"18",2016,"Sexual assault and related offences",11
"18",2016,"Dangerous or negligent acts endangering persons",12
"18",2016,"Abduction, harassment and other offences against the person",4
