"","year","Total prisoners","Male imprisonment rate","Female imprisonment rate","Mean age","Median age","Aboriginal and Torres Strait Islander","Known prior imprisonment","state","imprisonment_rate"
"1",2011,10038,341.5,24.8,35.4,33.3,22.9,53.2,"NSW",182.1
"2",2012,9648,324.2,23.3,35.9,33.9,22.8,51.7,"NSW",173.8
"3",2013,9899,328.2,23.4,36.1,34.2,23.2,54.5,"NSW",172.4
"4",2014,10567,344.7,24.3,36.4,34.5,23.6,55.6,"NSW",180.9
"5",2015,11797,377.2,28.7,36.3,34.3,24.1,54.7,"NSW",187.7
"6",2016,12629,397.5,31,36.5,34.5,24,51.6,"NSW",206.6
"7",2017,13149,406.1,32.3,36.9,35,24.3,51.7,"NSW",213.2
"8",2018,13740,416.1,34,37.2,35.3,24.3,51.5,"NSW",216.8
"9",2019,13458,404,29.7,37.5,35.4,23.1,53.5,"NSW",215.2
"10",2020,12730,374,25.4,37.9,35.7,26.2,53.7,"NSW",213.1
"11",2011,4738,209.7,14.6,37.4,35.4,6.2,47.9,"Victoria",107.2
"12",2012,4882,212.2,15.2,37.5,35.4,7.6,47.5,"Victoria",110.9
"13",2013,5340,227.3,16.5,37.5,35.4,7.2,50.6,"Victoria",115
"14",2014,6111,256.2,17.5,37.5,35.5,7.8,51.3,"Victoria",127.5
"15",2015,6219,256.1,17.8,37.8,35.6,7.8,51,"Victoria",136.6
"16",2016,6522,263.7,17.8,37.9,35.7,8.2,49.8,"Victoria",132.9
"17",2017,7149,276,20.2,37.6,35.4,8.5,50,"Victoria",140.5
"18",2018,7666,288.3,21.9,37.5,35.4,9,50.2,"Victoria",145.3
"19",2019,8101,297.8,22,37.7,35.3,10.4,50.1,"Victoria",157.3
"20",2020,7149,258,14.8,38.1,35.6,10.1,50.7,"Victoria",152.3
"21",2011,5575,302.1,24,34.8,32.7,29.7,60.6,"Queensland",161.4
"22",2012,5594,293.7,26.7,34.9,32.9,29.7,60.2,"Queensland",161.5
"23",2013,6079,311.4,29.5,34.8,32.8,31.2,64.6,"Queensland",163.6
