"","median_sentence_length","expenditure","imprisonment_rate","employment_rate"
"1",3.7,841998,173.8,"70.900000000000006"
"2",3.6,761099,172.4,"71.5"
"3",3.4,774165,180.9,"70.900000000000006"
"4",3.2,791565,187.7,"71.599999999999994"
"5",3,798316,206.6,"72.8"
"6",3,861078,213.2,"72.7"
"7",3.2,923346,216.8,"74"
"8",3.5,989041,215.2,"75.2"
"9",4,1077714,213.1,"70.8"
"10",3.6,470215,110.9,"72.599999999999994"
"11",3.2,495244,115,"71.900000000000006"
"12",3,560870,127.5,"70.7"
"13",3.2,665048,136.6,"71.900000000000006"
"14",3.5,711790,132.9,"72.5"
"15",3.5,803039,140.5,"73.3"
"16",3.6,892305,145.3,"73.2"
"17",4,949189,157.3,"74.2"
"18",4.5,939152,152.3,"71.2"
"19",3,460397,161.5,"72.900000000000006"
"20",3,435601,163.6,"72.3"
"21",3,467166,184.1,"72.8"
"22",2.8,487291,194.4,"72.400000000000006"
"23",2.8,518061,201.4,"72.099999999999994"
"24",3,573403,213.9,"72.5"
"25",3,594826,223,"73.2"
"26",3,626500,229.9,"73.5"
"27",3.4,668588,225.1,"69.2"
"28",4.8,160182,160.8,"71.5"
"29",4.5,160466,166.7,"71.900000000000006"
"30",4.5,178536,182.6,"70.599999999999994"
"31",4.5,193325,198.6,"70.2"
"32",4.5,217963,213.9,"70.8"
"33",4.3,242333,221.8,"70.8"
"34",4.4,265246,224.3,"73.400000000000006"
"35",4.4,262737,210.8,"72.900000000000006"
"36",4.4,246139,205.3,"70.099999999999994"
"37",2.5,467906,261.3,"76.3"
"38",2.5,519271,261.6,"74.8"
"39",2.4,545299,260.9,"74.099999999999994"
"40",2.5,576954,277.3,"74.599999999999994"
"41",2.5,569319,298.1,"74"
"42",2.5,591906,328.1,"74.400000000000006"
"43",2.6,620060,340.3,"75.5"
"44",2.7,611950,344.2,"75.3"
"45",2.8,657333,342.3,"71.5"
"46",1.7,93628,783,"73.8"
"47",1.3,107279,816.7,"73.5"
"48",1.3,115751,835.1,"76.5"
"49",1.4,126641,885.3,"77.400000000000006"
"50",1.5,128576,915.9,"77.7"
"51",1.5,129172,898.6,"79"
"52",1.5,132883,920.4,"78.3"
"53",1.7,133977,930.1,"73"
"54",2,144595,944,"74.2"
"55",2.3,35558,89.1,"79.400000000000006"
"56",2.7,34293,89.8,"78.400000000000006"
"57",3,35808,110.1,"77.5"
"58",3,44342,112.2,"76.900000000000006"
"59",2.5,52387,129.5,"77.8"
"60",3,54263,140.9,"77.900000000000006"
"61",2.6,60485,146.8,"78.7"
"62",3.1,54019,147,"78.599999999999994"
"63",3,68167,133.8,"78.099999999999994"
"64",3.2,2583510,167.4,"72.3"
"65",3,2568074,169.1,"72.1"
"66",3,2733690,180.7,"71.6"
"67",3,2945155,190.4,"72.1"
"68",3,3059911,200.9,"72.5"
"69",3,3320868,211,"72.9"
"70",3,3560200,216.9,"73.9"
"71",3.2,3703079,220.2,"74.3"
"72",3.5,3882858,216.4,"71"
